month,segment,visits,people,visits_per_person,avg_dwell_minutes,panel_visits,visits_yoy
2024-04,residents,97978,4010,24.44,722,2508,0.033
2024-04,visitors,686295,292463,2.35,203,29337,-0.028
2024-05,employees,201382,14429,13.96,398,8316,0.117
2024-05,residents,101462,4139,24.51,686,2535,0.036
2024-05,visitors,691812,270348,2.56,204,28440,0.048
2024-06,employees,185183,14292,12.96,393,8066,0.069
2024-06,residents,104464,4236,24.66,705,2783,0.164
2024-06,visitors,678613,294285,2.31,197,29873,-0.034
2024-07,employees,197808,14405,13.73,400,8761,0.178
2024-07,residents,111480,4230,26.36,737,3043,0.286
2024-07,visitors,646705,273959,2.36,195,28802,-0.06
2024-08,employees,207401,14615,14.19,392,9326,0.109
2024-08,residents,114369,4469,25.59,726,3132,0.243
2024-08,visitors,677287,292192,2.32,195,30642,-0.039
2024-09,employees,201823,14577,13.85,387,9466,0.115
2024-09,residents,125255,4702,26.64,733,3551,0.295
2024-09,visitors,640313,269702,2.37,182,30268,-0.059
2024-10,employees,218248,14161,15.41,390,10720,0.171
2024-10,residents,133598,4783,27.93,693,3869,0.43
2024-10,visitors,673264,277003,2.43,188,33850,-0.052
2024-11,employees,183567,13913,13.19,381,9221,0.047
2024-11,residents,120942,4688,25.8,718,3620,0.385
2024-11,visitors,631021,273749,2.31,189,32318,-0.059
2024-12,employees,179334,14093,12.72,388,9079,0.068
2024-12,residents,122581,4680,26.19,787,3683,0.333
2024-12,visitors,581478,261555,2.22,186,30195,-0.13
2025-01,employees,183859,14184,12.69,460,12565,0.069
2025-01,residents,112202,4128,27.18,1079,4947,-0.033
2025-01,visitors,718193,292880,2.45,130,36821,-0.004
2025-02,employees,177850,13978,12.26,455,11904,0.027
2025-02,residents,100560,4308,23.34,1054,4676,-0.049
2025-02,visitors,717950,302703,2.37,132,37487,-0.081
2025-03,employees,186754,13955,13.42,453,13195,0.113
2025-03,residents,106347,3946,26.95,1037,4952,0.006
2025-03,visitors,843186,344403,2.45,130,44076,-0.004
2025-04,employees,183837,14832,11.76,449,13041,0.013
2025-04,residents,103500,4087,25.32,1041,4923,0.027
2025-04,visitors,813946,327876,2.48,130,42781,-0.046
2025-05,employees,183861,14928,13.1,450,13054,0.008
2025-05,residents,107941,4228,25.53,1023,5207,0.029
2025-05,visitors,852951,339140,2.52,130,44764,-0.008
2025-06,employees,187093,15275,12.94,449,13493,-0.032
2025-06,residents,110247,4549,24.23,1019,4973,0.058
2025-06,visitors,843198,357807,2.36,135,44139,-0.012
2025-07,employees,185472,15598,12.27,445,13294,0.028
2025-07,residents,112395,4562,24.64,1011,4921,0.088
2025-07,visitors,809800,340374,2.38,139,42440,-0.006
2025-08,employees,181642,14829,12.65,468,13806,0.019
2025-08,residents,117272,4854,24.16,1009,5411,0.139
2025-08,visitors,799282,339743,2.35,130,43946,-0.033
2025-09,employees,179631,14423,12.66,460,13872,-0.017
2025-09,residents,109168,4204,25.97,1040,5944,0.068
2025-09,visitors,793079,320472,2.47,139,47496,0.016
2025-10,employees,174678,14377,13.69,448,16885,0.007
2025-10,residents,116003,4336,26.75,1036,6461,0.115
2025-10,visitors,793142,319682,2.48,137,49125,-0.056
2025-11,employees,156874,14120,11.93,448,14608,-0.018
2025-11,residents,110522,4518,24.46,1053,6166,0.064
2025-11,visitors,750032,321408,2.33,132,47617,-0.043
2025-12,employees,158216,13986,12.3,451,15142,0.019
2025-12,residents,114781,4475,25.65,1053,5790,0.054
2025-12,visitors,755137,323801,2.33,129,47096,-0.021
2026-01,employees,173058,14151,12.03,452,15694,-0.052
2026-01,residents,109477,4346,25.19,1096,6340,-0.026
2026-01,visitors,687246,287566,2.39,138,45712,-0.025
2026-02,employees,174319,13869,12.62,449,16146,0.013
2026-02,residents,95339,3863,24.68,1026,6116,-0.063
2026-02,visitors,722888,300457,2.41,140,49076,0.024
2026-03,employees,186071,13875,14.1,460,17940,0.035
2026-03,residents,104240,4128,25.25,1027,6595,-0.036
2026-03,visitors,793252,324900,2.44,137,53862,-0.043
2026-04,employees,188311,14280,13.08,449,18042,0.048
2026-04,residents,104793,3960,26.46,1015,6512,0.021
2026-04,visitors,796859,327749,2.43,135,55207,-0.01
2026-05,employees,183675,14416,12.32,441,17485,-0.032
2026-05,residents,109933,4322,25.44,1014,6556,0.031
2026-05,visitors,829509,340100,2.44,137,56619,-0.013
2026-06,employees,190208,14703,12.66,446,18326,0.046
2026-06,residents,109122,4651,23.46,993,6702,0.008
2026-06,visitors,821435,346549,2.37,141,55748,-0.006
