month,time_window,facility_type,facility,spaces,occupied
2023-02,Weekday afternoon,Ramps,Ramp 3,505,173
2023-02,Weekday afternoon,Surface lots,Lot 1,117,82
2023-02,Weekday afternoon,Surface lots,Lot 13,27,13
2023-02,Weekday afternoon,Surface lots,Lot 20,36,5
2023-02,Weekday afternoon,Surface lots,Lot 5,77,15
2023-02,Weekday afternoon,Surface lots,Lot 6,36,14
2023-02,Weekday afternoon,Surface lots,Lot 9,55,30
2023-02,Weekday evening,On-street,Zone 1,468,221
2023-02,Weekday evening,On-street,Zone 2,320,195
2023-02,Weekday evening,On-street,Zone 3,415,14
2023-02,Weekday evening,Ramps,Ramp 2,739,51
2023-02,Weekday evening,Ramps,Ramp 3,505,91
2023-02,Weekday evening,Surface lots,Lot 1,117,10
2023-02,Weekday evening,Surface lots,Lot 13,27,3
2023-02,Weekday evening,Surface lots,Lot 20,36,8
2023-02,Weekday evening,Surface lots,Lot 5,77,13
2023-02,Weekday evening,Surface lots,Lot 6,36,6
2023-02,Weekday evening,Surface lots,Lot 9,55,14
2023-02,Weekend evening,On-street,Zone 1,468,226
2023-02,Weekend evening,On-street,Zone 2,320,207
2023-02,Weekend evening,On-street,Zone 3,415,151
2023-02,Weekend evening,Ramps,Ramp 2,739,157
2023-02,Weekend evening,Ramps,Ramp 3,505,150
2023-02,Weekend evening,Surface lots,Lot 1,117,36
2023-02,Weekend evening,Surface lots,Lot 13,27,14
2023-02,Weekend evening,Surface lots,Lot 20,36,6
2023-02,Weekend evening,Surface lots,Lot 5,77,12
2023-02,Weekend evening,Surface lots,Lot 6,36,1
2023-02,Weekend evening,Surface lots,Lot 9,55,7
2023-03,Weekday afternoon,On-street,Zone 1,468,213
2023-03,Weekday afternoon,On-street,Zone 2,320,117
2023-03,Weekday afternoon,On-street,Zone 3,415,194
2023-03,Weekday afternoon,Ramps,Ramp 2,739,228
2023-03,Weekday afternoon,Ramps,Ramp 3,505,148
2023-03,Weekday afternoon,Surface lots,Lot 1,117,67
2023-03,Weekday afternoon,Surface lots,Lot 13,27,22
2023-03,Weekday afternoon,Surface lots,Lot 20,36,3
2023-03,Weekday afternoon,Surface lots,Lot 5,77,21
2023-03,Weekday afternoon,Surface lots,Lot 6,36,16
2023-03,Weekday afternoon,Surface lots,Lot 9,55,25
2023-03,Weekday evening,On-street,Zone 1,468,180
2023-03,Weekday evening,On-street,Zone 2,320,157
2023-03,Weekday evening,On-street,Zone 3,415,131
2023-03,Weekday evening,Ramps,Ramp 2,739,80
2023-03,Weekday evening,Ramps,Ramp 3,505,78
2023-03,Weekday evening,Surface lots,Lot 1,117,26
2023-03,Weekday evening,Surface lots,Lot 13,27,10
2023-03,Weekday evening,Surface lots,Lot 20,36,2
2023-03,Weekday evening,Surface lots,Lot 5,77,21
2023-03,Weekday evening,Surface lots,Lot 6,36,1
2023-03,Weekday evening,Surface lots,Lot 9,55,15
2023-03,Weekend evening,On-street,Zone 1,468,201
2023-03,Weekend evening,On-street,Zone 2,320,127
2023-03,Weekend evening,On-street,Zone 3,415,163
2023-03,Weekend evening,Ramps,Ramp 2,739,52
2023-03,Weekend evening,Ramps,Ramp 3,505,78
2023-03,Weekend evening,Surface lots,Lot 1,117,22
2023-03,Weekend evening,Surface lots,Lot 13,27,2
2023-03,Weekend evening,Surface lots,Lot 20,36,12
2023-03,Weekend evening,Surface lots,Lot 5,77,15
2023-03,Weekend evening,Surface lots,Lot 6,36,3
2023-03,Weekend evening,Surface lots,Lot 9,55,9
2023-04,Weekday afternoon,On-street,Zone 1,468,230
2023-04,Weekday afternoon,On-street,Zone 2,320,171
2023-04,Weekday afternoon,On-street,Zone 3,415,198
2023-04,Weekday afternoon,Ramps,Ramp 2,739,201
2023-04,Weekday afternoon,Ramps,Ramp 3,505,147
2023-04,Weekday afternoon,Surface lots,Lot 1,117,57
2023-04,Weekday afternoon,Surface lots,Lot 13,27,21
2023-04,Weekday afternoon,Surface lots,Lot 20,36,6
2023-04,Weekday afternoon,Surface lots,Lot 5,77,10
2023-04,Weekday afternoon,Surface lots,Lot 6,36,15
2023-04,Weekday afternoon,Surface lots,Lot 9,55,26
2023-04,Weekday evening,On-street,Zone 1,468,174
2023-04,Weekday evening,On-street,Zone 2,320,152
2023-04,Weekday evening,On-street,Zone 3,415,143
2023-04,Weekday evening,Ramps,Ramp 2,739,74
2023-04,Weekday evening,Ramps,Ramp 3,505,65
2023-04,Weekday evening,Surface lots,Lot 1,117,21
2023-04,Weekday evening,Surface lots,Lot 13,27,5
2023-04,Weekday evening,Surface lots,Lot 20,36,5
2023-04,Weekday evening,Surface lots,Lot 5,77,16
2023-04,Weekday evening,Surface lots,Lot 6,36,0
2023-04,Weekday evening,Surface lots,Lot 9,55,12
2023-04,Weekend evening,On-street,Zone 1,468,196
2023-04,Weekend evening,On-street,Zone 2,320,187
2023-04,Weekend evening,On-street,Zone 3,415,164
2023-04,Weekend evening,Ramps,Ramp 2,739,84
2023-04,Weekend evening,Ramps,Ramp 3,505,67
2023-04,Weekend evening,Surface lots,Lot 1,117,23
2023-04,Weekend evening,Surface lots,Lot 13,27,10
2023-04,Weekend evening,Surface lots,Lot 20,36,4
2023-04,Weekend evening,Surface lots,Lot 5,77,12
2023-04,Weekend evening,Surface lots,Lot 6,36,1
2023-04,Weekend evening,Surface lots,Lot 9,55,11
2023-05,Weekday afternoon,On-street,Zone 1,468,214
2023-05,Weekday afternoon,On-street,Zone 2,320,135
2023-05,Weekday afternoon,On-street,Zone 3,415,185
2023-05,Weekday afternoon,Ramps,Ramp 2,739,211
2023-05,Weekday afternoon,Ramps,Ramp 3,505,139
2023-05,Weekday afternoon,Surface lots,Lot 1,117,31
2023-05,Weekday afternoon,Surface lots,Lot 13,27,19
2023-05,Weekday afternoon,Surface lots,Lot 20,36,7
2023-05,Weekday afternoon,Surface lots,Lot 5,77,15
2023-05,Weekday afternoon,Surface lots,Lot 6,36,11
2023-05,Weekday afternoon,Surface lots,Lot 9,55,24
2023-05,Weekday evening,On-street,Zone 1,468,201
2023-05,Weekday evening,On-street,Zone 2,320,146
2023-05,Weekday evening,On-street,Zone 3,415,151
2023-05,Weekday evening,Ramps,Ramp 2,739,123
2023-05,Weekday evening,Ramps,Ramp 3,505,126
2023-05,Weekday evening,Surface lots,Lot 1,117,57
2023-05,Weekday evening,Surface lots,Lot 13,27,17
2023-05,Weekday evening,Surface lots,Lot 20,36,6
2023-05,Weekday evening,Surface lots,Lot 5,77,17
2023-05,Weekday evening,Surface lots,Lot 6,36,4
2023-05,Weekday evening,Surface lots,Lot 9,55,12
2023-05,Weekend evening,On-street,Zone 1,468,217
2023-05,Weekend evening,On-street,Zone 2,320,151
2023-05,Weekend evening,On-street,Zone 3,415,135
2023-05,Weekend evening,Ramps,Ramp 2,739,87
2023-05,Weekend evening,Ramps,Ramp 3,505,84
2023-05,Weekend evening,Surface lots,Lot 1,117,62
2023-05,Weekend evening,Surface lots,Lot 13,27,17
2023-05,Weekend evening,Surface lots,Lot 20,36,4
2023-05,Weekend evening,Surface lots,Lot 5,77,12
2023-05,Weekend evening,Surface lots,Lot 6,36,6
2023-05,Weekend evening,Surface lots,Lot 9,55,13
2023-06,Weekday afternoon,On-street,Zone 1,468,217
2023-06,Weekday afternoon,On-street,Zone 2,320,157
2023-06,Weekday afternoon,On-street,Zone 3,415,152
2023-06,Weekday afternoon,Ramps,Ramp 2,739,237
2023-06,Weekday afternoon,Ramps,Ramp 3,505,132
2023-06,Weekday afternoon,Surface lots,Lot 1,117,83
2023-06,Weekday afternoon,Surface lots,Lot 13,27,19
2023-06,Weekday afternoon,Surface lots,Lot 20,36,5
2023-06,Weekday afternoon,Surface lots,Lot 5,77,19
2023-06,Weekday afternoon,Surface lots,Lot 6,36,10
2023-06,Weekday afternoon,Surface lots,Lot 9,55,25
2023-06,Weekday evening,On-street,Zone 1,468,197
2023-06,Weekday evening,On-street,Zone 2,320,163
2023-06,Weekday evening,On-street,Zone 3,415,154
2023-06,Weekday evening,Ramps,Ramp 2,739,95
2023-06,Weekday evening,Ramps,Ramp 3,505,79
2023-06,Weekday evening,Surface lots,Lot 1,117,62
2023-06,Weekday evening,Surface lots,Lot 13,27,12
2023-06,Weekday evening,Surface lots,Lot 20,36,3
2023-06,Weekday evening,Surface lots,Lot 5,77,10
2023-06,Weekday evening,Surface lots,Lot 6,36,3
2023-06,Weekday evening,Surface lots,Lot 9,55,7
2023-06,Weekend evening,On-street,Zone 1,468,197
2023-06,Weekend evening,On-street,Zone 2,320,165
2023-06,Weekend evening,On-street,Zone 3,415,132
2023-06,Weekend evening,Ramps,Ramp 2,739,86
2023-06,Weekend evening,Ramps,Ramp 3,505,72
2023-06,Weekend evening,Surface lots,Lot 1,117,41
2023-06,Weekend evening,Surface lots,Lot 13,27,9
2023-06,Weekend evening,Surface lots,Lot 20,36,4
2023-06,Weekend evening,Surface lots,Lot 5,77,15
2023-06,Weekend evening,Surface lots,Lot 6,36,2
2023-06,Weekend evening,Surface lots,Lot 9,55,8
2023-07,Weekday afternoon,On-street,Zone 1,468,201
2023-07,Weekday afternoon,On-street,Zone 2,320,127
2023-07,Weekday afternoon,On-street,Zone 3,415,141
2023-07,Weekday afternoon,Ramps,Ramp 2,739,123
2023-07,Weekday afternoon,Ramps,Ramp 3,505,122
2023-07,Weekday afternoon,Surface lots,Lot 1,117,68
2023-07,Weekday afternoon,Surface lots,Lot 13,27,23
2023-07,Weekday afternoon,Surface lots,Lot 20,36,8
2023-07,Weekday afternoon,Surface lots,Lot 5,77,12
2023-07,Weekday afternoon,Surface lots,Lot 6,36,13
2023-07,Weekday afternoon,Surface lots,Lot 9,55,26
2023-07,Weekday evening,On-street,Zone 1,468,197
2023-07,Weekday evening,On-street,Zone 2,320,136
2023-07,Weekday evening,On-street,Zone 3,415,122
2023-07,Weekday evening,Ramps,Ramp 2,739,57
2023-07,Weekday evening,Ramps,Ramp 3,505,94
2023-07,Weekday evening,Surface lots,Lot 1,117,41
2023-07,Weekday evening,Surface lots,Lot 13,27,1
2023-07,Weekday evening,Surface lots,Lot 20,36,13
2023-07,Weekday evening,Surface lots,Lot 5,77,16
2023-07,Weekday evening,Surface lots,Lot 6,36,8
2023-07,Weekday evening,Surface lots,Lot 9,55,14
2023-07,Weekend evening,On-street,Zone 1,468,198
2023-07,Weekend evening,On-street,Zone 2,320,186
2023-07,Weekend evening,On-street,Zone 3,415,142
2023-07,Weekend evening,Ramps,Ramp 2,739,127
2023-07,Weekend evening,Ramps,Ramp 3,505,133
2023-07,Weekend evening,Surface lots,Lot 1,117,24
2023-07,Weekend evening,Surface lots,Lot 13,27,0
2023-07,Weekend evening,Surface lots,Lot 20,36,11
2023-07,Weekend evening,Surface lots,Lot 5,77,17
2023-07,Weekend evening,Surface lots,Lot 6,36,3
2023-07,Weekend evening,Surface lots,Lot 9,55,8
2023-08,Weekday afternoon,On-street,Zone 1,468,179
2023-08,Weekday afternoon,On-street,Zone 2,320,132
2023-08,Weekday afternoon,On-street,Zone 3,415,136
2023-08,Weekday afternoon,Ramps,Ramp 2,739,209
2023-08,Weekday afternoon,Ramps,Ramp 3,505,149
2023-08,Weekday afternoon,Surface lots,Lot 1,117,83
2023-08,Weekday afternoon,Surface lots,Lot 13,27,13
2023-08,Weekday afternoon,Surface lots,Lot 20,36,7
2023-08,Weekday afternoon,Surface lots,Lot 5,77,21
2023-08,Weekday afternoon,Surface lots,Lot 6,36,5
2023-08,Weekday afternoon,Surface lots,Lot 9,55,34
2023-08,Weekday evening,On-street,Zone 1,468,207
2023-08,Weekday evening,On-street,Zone 2,320,141
2023-08,Weekday evening,On-street,Zone 3,415,139
2023-08,Weekday evening,Ramps,Ramp 2,739,48
2023-08,Weekday evening,Ramps,Ramp 3,505,95
2023-08,Weekday evening,Surface lots,Lot 1,117,56
2023-08,Weekday evening,Surface lots,Lot 13,27,8
2023-08,Weekday evening,Surface lots,Lot 20,36,2
2023-08,Weekday evening,Surface lots,Lot 5,77,19
2023-08,Weekday evening,Surface lots,Lot 6,36,7
2023-08,Weekday evening,Surface lots,Lot 9,55,13
2023-08,Weekend evening,On-street,Zone 1,468,182
2023-08,Weekend evening,On-street,Zone 2,320,165
2023-08,Weekend evening,On-street,Zone 3,415,139
2023-08,Weekend evening,Ramps,Ramp 2,739,58
2023-08,Weekend evening,Ramps,Ramp 3,505,71
2023-08,Weekend evening,Surface lots,Lot 1,117,52
2023-08,Weekend evening,Surface lots,Lot 13,27,8
2023-08,Weekend evening,Surface lots,Lot 20,36,2
2023-08,Weekend evening,Surface lots,Lot 5,77,19
2023-08,Weekend evening,Surface lots,Lot 6,36,7
2023-08,Weekend evening,Surface lots,Lot 9,55,11
2023-09,Weekday afternoon,On-street,Zone 1,468,257
2023-09,Weekday afternoon,On-street,Zone 2,320,142
2023-09,Weekday afternoon,On-street,Zone 3,415,161
2023-09,Weekday afternoon,Ramps,Ramp 2,739,249
2023-09,Weekday afternoon,Ramps,Ramp 3,505,159
2023-09,Weekday afternoon,Surface lots,Lot 1,117,79
2023-09,Weekday afternoon,Surface lots,Lot 13,27,19
2023-09,Weekday afternoon,Surface lots,Lot 20,36,12
2023-09,Weekday afternoon,Surface lots,Lot 5,77,19
2023-09,Weekday afternoon,Surface lots,Lot 6,36,12
2023-09,Weekday afternoon,Surface lots,Lot 9,55,27
2023-09,Weekday evening,On-street,Zone 1,468,209
2023-09,Weekday evening,On-street,Zone 2,320,163
2023-09,Weekday evening,On-street,Zone 3,415,148
2023-09,Weekday evening,Ramps,Ramp 2,739,87
2023-09,Weekday evening,Ramps,Ramp 3,505,83
2023-09,Weekday evening,Surface lots,Lot 1,117,34
2023-09,Weekday evening,Surface lots,Lot 13,27,14
2023-09,Weekday evening,Surface lots,Lot 20,36,3
2023-09,Weekday evening,Surface lots,Lot 5,77,27
2023-09,Weekday evening,Surface lots,Lot 6,36,4
2023-09,Weekday evening,Surface lots,Lot 9,55,12
2023-09,Weekend evening,On-street,Zone 1,468,219
2023-09,Weekend evening,On-street,Zone 2,320,165
2023-09,Weekend evening,On-street,Zone 3,415,159
2023-09,Weekend evening,Ramps,Ramp 2,739,32
2023-09,Weekend evening,Ramps,Ramp 3,505,76
2023-09,Weekend evening,Surface lots,Lot 1,117,34
2023-09,Weekend evening,Surface lots,Lot 13,27,7
2023-09,Weekend evening,Surface lots,Lot 20,36,2
2023-09,Weekend evening,Surface lots,Lot 5,77,23
2023-09,Weekend evening,Surface lots,Lot 6,36,6
2023-09,Weekend evening,Surface lots,Lot 9,55,12
2023-10,Weekday afternoon,On-street,Zone 1,468,227
2023-10,Weekday afternoon,On-street,Zone 2,320,136
2023-10,Weekday afternoon,On-street,Zone 3,415,152
2023-10,Weekday afternoon,Ramps,Ramp 2,739,216
2023-10,Weekday afternoon,Ramps,Ramp 3,505,137
2023-10,Weekday afternoon,Surface lots,Lot 1,117,74
2023-10,Weekday afternoon,Surface lots,Lot 13,27,14
2023-10,Weekday afternoon,Surface lots,Lot 20,36,12
2023-10,Weekday afternoon,Surface lots,Lot 5,77,18
2023-10,Weekday afternoon,Surface lots,Lot 6,36,8
2023-10,Weekday afternoon,Surface lots,Lot 9,55,26
2023-10,Weekday evening,On-street,Zone 1,468,193
2023-10,Weekday evening,On-street,Zone 2,320,121
2023-10,Weekday evening,On-street,Zone 3,415,136
2023-10,Weekday evening,Ramps,Ramp 2,739,27
2023-10,Weekday evening,Ramps,Ramp 3,505,70
2023-10,Weekday evening,Surface lots,Lot 1,117,12
2023-10,Weekday evening,Surface lots,Lot 13,27,2
2023-10,Weekday evening,Surface lots,Lot 20,36,2
2023-10,Weekday evening,Surface lots,Lot 5,77,20
2023-10,Weekday evening,Surface lots,Lot 6,36,4
2023-10,Weekday evening,Surface lots,Lot 9,55,12
2023-10,Weekend evening,On-street,Zone 1,468,187
2023-10,Weekend evening,On-street,Zone 2,320,162
2023-10,Weekend evening,On-street,Zone 3,415,129
2023-10,Weekend evening,Ramps,Ramp 2,739,49
2023-10,Weekend evening,Ramps,Ramp 3,505,80
2023-10,Weekend evening,Surface lots,Lot 1,117,40
2023-10,Weekend evening,Surface lots,Lot 13,27,13
2023-10,Weekend evening,Surface lots,Lot 20,36,1
2023-10,Weekend evening,Surface lots,Lot 5,77,17
2023-10,Weekend evening,Surface lots,Lot 6,36,8
2023-10,Weekend evening,Surface lots,Lot 9,55,10
2023-11,Weekday afternoon,On-street,Zone 1,468,185
2023-11,Weekday afternoon,On-street,Zone 2,320,145
2023-11,Weekday afternoon,On-street,Zone 3,415,167
2023-11,Weekday afternoon,Ramps,Ramp 2,739,230
2023-11,Weekday afternoon,Ramps,Ramp 3,505,157
2023-11,Weekday afternoon,Surface lots,Lot 1,117,76
2023-11,Weekday afternoon,Surface lots,Lot 13,27,18
2023-11,Weekday afternoon,Surface lots,Lot 20,36,11
2023-11,Weekday afternoon,Surface lots,Lot 5,77,15
2023-11,Weekday afternoon,Surface lots,Lot 6,36,9
2023-11,Weekday afternoon,Surface lots,Lot 9,55,24
2023-11,Weekday evening,On-street,Zone 1,468,185
2023-11,Weekday evening,On-street,Zone 2,320,133
2023-11,Weekday evening,On-street,Zone 3,415,139
2023-11,Weekday evening,Ramps,Ramp 2,739,48
2023-11,Weekday evening,Ramps,Ramp 3,505,63
2023-11,Weekday evening,Surface lots,Lot 1,117,28
2023-11,Weekday evening,Surface lots,Lot 13,27,9
2023-11,Weekday evening,Surface lots,Lot 20,36,5
2023-11,Weekday evening,Surface lots,Lot 5,77,11
2023-11,Weekday evening,Surface lots,Lot 6,36,2
2023-11,Weekday evening,Surface lots,Lot 9,55,14
2023-11,Weekend evening,On-street,Zone 1,468,191
2023-11,Weekend evening,On-street,Zone 2,320,184
2023-11,Weekend evening,On-street,Zone 3,415,141
2023-11,Weekend evening,Ramps,Ramp 2,739,61
2023-11,Weekend evening,Ramps,Ramp 3,505,83
2023-11,Weekend evening,Surface lots,Lot 1,117,53
2023-11,Weekend evening,Surface lots,Lot 13,27,8
2023-11,Weekend evening,Surface lots,Lot 20,36,3
2023-11,Weekend evening,Surface lots,Lot 5,77,14
2023-11,Weekend evening,Surface lots,Lot 6,36,6
2023-11,Weekend evening,Surface lots,Lot 9,55,12
2023-12,Weekday afternoon,On-street,Zone 1,468,171
2023-12,Weekday afternoon,On-street,Zone 2,320,151
2023-12,Weekday afternoon,On-street,Zone 3,415,183
2023-12,Weekday afternoon,Ramps,Ramp 2,739,245
2023-12,Weekday afternoon,Ramps,Ramp 3,505,170
2023-12,Weekday afternoon,Surface lots,Lot 1,117,75
2023-12,Weekday afternoon,Surface lots,Lot 13,27,23
2023-12,Weekday afternoon,Surface lots,Lot 20,36,10
2023-12,Weekday afternoon,Surface lots,Lot 5,77,13
2023-12,Weekday afternoon,Surface lots,Lot 6,36,12
2023-12,Weekday afternoon,Surface lots,Lot 9,55,28
2023-12,Weekday evening,On-street,Zone 1,468,163
2023-12,Weekday evening,On-street,Zone 2,320,142
2023-12,Weekday evening,On-street,Zone 3,415,121
2023-12,Weekday evening,Ramps,Ramp 2,739,63
2023-12,Weekday evening,Ramps,Ramp 3,505,51
2023-12,Weekday evening,Surface lots,Lot 1,117,39
2023-12,Weekday evening,Surface lots,Lot 13,27,13
2023-12,Weekday evening,Surface lots,Lot 20,36,8
2023-12,Weekday evening,Surface lots,Lot 5,77,9
2023-12,Weekday evening,Surface lots,Lot 6,36,1
2023-12,Weekday evening,Surface lots,Lot 9,55,12
2023-12,Weekend evening,On-street,Zone 1,468,206
2023-12,Weekend evening,On-street,Zone 2,320,197
2023-12,Weekend evening,On-street,Zone 3,415,161
2023-12,Weekend evening,Ramps,Ramp 2,739,122
2023-12,Weekend evening,Ramps,Ramp 3,505,86
2023-12,Weekend evening,Surface lots,Lot 1,117,74
2023-12,Weekend evening,Surface lots,Lot 13,27,21
2023-12,Weekend evening,Surface lots,Lot 20,36,6
2023-12,Weekend evening,Surface lots,Lot 5,77,12
2023-12,Weekend evening,Surface lots,Lot 6,36,2
2023-12,Weekend evening,Surface lots,Lot 9,55,12
2024-02,Weekday afternoon,On-street,Zone 1,468,143
2024-02,Weekday afternoon,On-street,Zone 2,320,128
2024-02,Weekday afternoon,On-street,Zone 3,415,170
2024-02,Weekday afternoon,Ramps,Ramp 2,739,224
2024-02,Weekday afternoon,Ramps,Ramp 3,505,167
2024-02,Weekday afternoon,Surface lots,Lot 1,117,78
2024-02,Weekday afternoon,Surface lots,Lot 13,27,19
2024-02,Weekday afternoon,Surface lots,Lot 20,36,11
2024-02,Weekday afternoon,Surface lots,Lot 5,77,14
2024-02,Weekday afternoon,Surface lots,Lot 6,36,9
2024-02,Weekday afternoon,Surface lots,Lot 9,55,24
2024-02,Weekday evening,On-street,Zone 1,468,126
2024-02,Weekday evening,On-street,Zone 2,320,124
2024-02,Weekday evening,On-street,Zone 3,415,118
2024-02,Weekday evening,Ramps,Ramp 2,739,71
2024-02,Weekday evening,Ramps,Ramp 3,505,59
2024-02,Weekday evening,Surface lots,Lot 1,117,35
2024-02,Weekday evening,Surface lots,Lot 13,27,8
2024-02,Weekday evening,Surface lots,Lot 20,36,2
2024-02,Weekday evening,Surface lots,Lot 5,77,9
2024-02,Weekday evening,Surface lots,Lot 6,36,0
2024-02,Weekday evening,Surface lots,Lot 9,55,14
2024-02,Weekend evening,On-street,Zone 1,468,115
2024-02,Weekend evening,On-street,Zone 2,320,96
2024-02,Weekend evening,On-street,Zone 3,415,145
2024-02,Weekend evening,Ramps,Ramp 2,739,68
2024-02,Weekend evening,Ramps,Ramp 3,505,115
2024-02,Weekend evening,Surface lots,Lot 1,117,45
2024-02,Weekend evening,Surface lots,Lot 13,27,2
2024-02,Weekend evening,Surface lots,Lot 20,36,1
2024-02,Weekend evening,Surface lots,Lot 5,77,11
2024-02,Weekend evening,Surface lots,Lot 6,36,6
2024-02,Weekend evening,Surface lots,Lot 9,55,11
2024-03,Weekday afternoon,On-street,Zone 1,468,143
2024-03,Weekday afternoon,On-street,Zone 2,320,129
2024-03,Weekday afternoon,On-street,Zone 3,415,199
2024-03,Weekday afternoon,Ramps,Ramp 2,739,261
2024-03,Weekday afternoon,Ramps,Ramp 3,505,169
2024-03,Weekday afternoon,Surface lots,Lot 1,117,78
2024-03,Weekday afternoon,Surface lots,Lot 13,27,19
2024-03,Weekday afternoon,Surface lots,Lot 20,36,8
2024-03,Weekday afternoon,Surface lots,Lot 5,77,17
2024-03,Weekday afternoon,Surface lots,Lot 6,36,4
2024-03,Weekday afternoon,Surface lots,Lot 9,55,25
2024-03,Weekday evening,On-street,Zone 1,468,182
2024-03,Weekday evening,On-street,Zone 2,320,171
2024-03,Weekday evening,On-street,Zone 3,415,153
2024-03,Weekday evening,Ramps,Ramp 2,739,118
2024-03,Weekday evening,Ramps,Ramp 3,505,86
2024-03,Weekday evening,Surface lots,Lot 1,117,18
2024-03,Weekday evening,Surface lots,Lot 13,27,17
2024-03,Weekday evening,Surface lots,Lot 20,36,3
2024-03,Weekday evening,Surface lots,Lot 5,77,8
2024-03,Weekday evening,Surface lots,Lot 6,36,0
2024-03,Weekday evening,Surface lots,Lot 9,55,13
2024-03,Weekend evening,On-street,Zone 1,468,168
2024-03,Weekend evening,On-street,Zone 2,320,142
2024-03,Weekend evening,On-street,Zone 3,415,162
2024-03,Weekend evening,Ramps,Ramp 2,739,76
2024-03,Weekend evening,Ramps,Ramp 3,505,68
2024-03,Weekend evening,Surface lots,Lot 1,117,52
2024-03,Weekend evening,Surface lots,Lot 13,27,18
2024-03,Weekend evening,Surface lots,Lot 20,36,3
2024-03,Weekend evening,Surface lots,Lot 5,77,9
2024-03,Weekend evening,Surface lots,Lot 6,36,2
2024-03,Weekend evening,Surface lots,Lot 9,55,12
2024-04,Weekday afternoon,On-street,Zone 1,468,169
2024-04,Weekday afternoon,On-street,Zone 2,320,141
2024-04,Weekday afternoon,On-street,Zone 3,415,170
2024-04,Weekday afternoon,Ramps,Ramp 2,739,253
2024-04,Weekday afternoon,Ramps,Ramp 3,505,146
2024-04,Weekday afternoon,Surface lots,Lot 1,117,67
2024-04,Weekday afternoon,Surface lots,Lot 13,27,24
2024-04,Weekday afternoon,Surface lots,Lot 20,36,9
2024-04,Weekday afternoon,Surface lots,Lot 5,77,18
2024-04,Weekday afternoon,Surface lots,Lot 6,36,2
2024-04,Weekday afternoon,Surface lots,Lot 9,55,14
2024-04,Weekday evening,On-street,Zone 1,468,171
2024-04,Weekday evening,On-street,Zone 2,320,156
2024-04,Weekday evening,On-street,Zone 3,415,129
2024-04,Weekday evening,Ramps,Ramp 2,739,90
2024-04,Weekday evening,Ramps,Ramp 3,505,84
2024-04,Weekday evening,Surface lots,Lot 1,117,32
2024-04,Weekday evening,Surface lots,Lot 13,27,10
2024-04,Weekday evening,Surface lots,Lot 20,36,0
2024-04,Weekday evening,Surface lots,Lot 5,77,12
2024-04,Weekday evening,Surface lots,Lot 6,36,1
2024-04,Weekday evening,Surface lots,Lot 9,55,9
2024-04,Weekend evening,On-street,Zone 1,468,168
2024-04,Weekend evening,On-street,Zone 2,320,192
2024-04,Weekend evening,On-street,Zone 3,415,153
2024-04,Weekend evening,Ramps,Ramp 2,739,98
2024-04,Weekend evening,Ramps,Ramp 3,505,89
2024-04,Weekend evening,Surface lots,Lot 1,117,35
2024-04,Weekend evening,Surface lots,Lot 13,27,10
2024-04,Weekend evening,Surface lots,Lot 20,36,2
2024-04,Weekend evening,Surface lots,Lot 5,77,13
2024-04,Weekend evening,Surface lots,Lot 6,36,1
2024-04,Weekend evening,Surface lots,Lot 9,55,9
2024-05,Weekday afternoon,On-street,Zone 1,468,150
2024-05,Weekday afternoon,On-street,Zone 2,320,129
